State,County,Region,Life Expectancy,Years of Potential Life Lost Rate,% Children in Poverty,% Food Insecure,% Some College,% Fair or Poor Health,% Unemployed,% Uninsured
Alabama,Autauga,South,74.8,9938.0,17.0,15.0,61.0,18.0,2.2,8.0
Alabama,Baldwin,South,76.6,8957.0,14.0,15.0,65.0,17.0,2.3,10.0
Alabama,Barbour,South,72.7,12739.0,35.0,19.0,44.0,28.0,4.4,12.0
Alabama,Bibb,South,73.0,11709.0,21.0,19.0,44.0,25.0,2.5,11.0
Alabama,Blount,South,72.9,11898.0,17.0,17.0,53.0,23.0,2.1,13.0
Alabama,Bullock,South,71.0,15998.0,40.0,17.0,36.0,35.0,2.4,11.0
Alabama,Butler,South,71.5,14616.0,37.0,17.0,42.0,26.0,2.9,10.0
Alabama,Calhoun,South,70.8,14260.0,29.0,18.0,54.0,22.0,2.8,12.0
Alabama,Chambers,South,71.9,12569.0,26.0,17.0,53.0,27.0,2.4,13.0
Alabama,Cherokee,South,72.4,12681.0,21.0,18.0,50.0,20.0,2.4,13.0
Alabama,Chilton,South,72.7,11803.0,22.0,18.0,46.0,20.0,2.2,13.0
Alabama,Choctaw,South,73.1,12977.0,36.0,18.0,48.0,27.0,4.0,11.0
Alabama,Clarke,South,69.9,16382.0,29.0,19.0,41.0,26.0,5.0,11.0
Alabama,Clay,South,71.9,13313.0,25.0,18.0,52.0,25.0,2.4,11.0
Alabama,Cleburne,South,72.1,12586.0,22.0,18.0,51.0,23.0,2.3,12.0
Alabama,Coffee,South,74.2,10339.0,21.0,18.0,61.0,20.0,2.5,12.0
Alabama,Colbert,South,73.0,12370.0,21.0,18.0,58.0,22.0,2.9,11.0
Alabama,Conecuh,South,69.0,18928.0,43.0,17.0,38.0,26.0,3.5,11.0
Alabama,Coosa,South,72.2,14410.0,28.0,16.0,40.0,24.0,2.6,9.0
Alabama,Covington,South,70.6,14664.0,22.0,19.0,51.0,22.0,2.7,11.0
Alabama,Crenshaw,South,70.4,13952.0,27.0,16.0,48.0,24.0,2.7,13.0
Alabama,Cullman,South,72.9,11853.0,21.0,17.0,59.0,22.0,2.0,12.0
Alabama,Dale,South,73.0,11939.0,22.0,19.0,59.0,23.0,2.5,10.0
Alabama,Dallas,South,67.7,20427.0,47.0,19.0,57.0,28.0,5.4,10.0
Alabama,DeKalb,South,72.4,11969.0,29.0,19.0,50.0,28.0,2.3,15.0
Alabama,Elmore,South,74.6,9508.0,17.0,14.0,53.0,19.0,2.1,9.0
Alabama,Escambia,South,70.1,15045.0,29.0,19.0,37.0,26.0,3.1,12.0
Alabama,Etowah,South,70.2,14706.0,26.0,18.0,53.0,22.0,2.8,11.0
Alabama,Fayette,South,70.7,14667.0,22.0,21.0,50.0,25.0,2.9,12.0
Alabama,Franklin,South,71.5,13059.0,34.0,18.0,42.0,26.0,2.6,14.0
Alabama,Geneva,South,70.6,14287.0,27.0,21.0,48.0,23.0,2.4,12.0
Alabama,Greene,South,70.6,16287.0,47.0,21.0,35.0,34.0,4.8,9.0
Alabama,Hale,South,69.9,15927.0,32.0,19.0,51.0,26.0,3.3,11.0
Alabama,Henry,South,74.2,10894.0,23.0,17.0,45.0,26.0,2.6,11.0
Alabama,Houston,South,73.5,11251.0,25.0,17.0,58.0,22.0,2.6,12.0
Alabama,Jackson,South,70.9,13932.0,19.0,20.0,50.0,24.0,2.5,13.0
Alabama,Jefferson,South,72.4,13164.0,22.0,15.0,69.0,20.0,2.5,10.0
Alabama,Lamar,South,72.4,12036.0,23.0,19.0,52.0,22.0,2.8,11.0
Alabama,Lauderdale,South,74.9,9937.0,17.0,16.0,58.0,19.0,2.5,11.0
Alabama,Lawrence,South,71.1,13633.0,19.0,18.0,52.0,24.0,2.3,12.0
Alabama,Lee,South,77.1,7894.0,15.0,16.0,76.0,20.0,2.3,10.0
Alabama,Limestone,South,76.1,8777.0,11.0,15.0,66.0,18.0,2.1,9.0
Alabama,Lowndes,South,67.6,19891.0,42.0,18.0,45.0,30.0,4.6,9.0
Alabama,Macon,South,71.4,15397.0,41.0,17.0,52.0,28.0,3.2,10.0
Alabama,Madison,South,76.5,9054.0,14.0,14.0,77.0,17.0,2.0,8.0
Alabama,Marengo,South,70.8,14679.0,33.0,18.0,54.0,26.0,3.3,10.0
Alabama,Marion,South,72.4,12544.0,24.0,20.0,59.0,23.0,2.9,11.0
Alabama,Marshall,South,71.9,12809.0,22.0,18.0,51.0,21.0,2.1,12.0
Alabama,Mobile,South,72.6,12656.0,25.0,16.0,59.0,25.0,3.1,12.0
Alabama,Monroe,South,70.8,15785.0,28.0,19.0,38.0,26.0,4.3,11.0
Alabama,Montgomery,South,72.7,13219.0,26.0,16.0,64.0,25.0,2.8,11.0
Alabama,Morgan,South,72.8,12502.0,17.0,16.0,57.0,22.0,2.0,12.0
Alabama,Perry,South,68.8,17917.0,50.0,21.0,35.0,33.0,5.0,10.0
Alabama,Pickens,South,71.5,13197.0,30.0,19.0,43.0,26.0,3.0,10.0
Alabama,Pike,South,71.6,13497.0,33.0,17.0,62.0,22.0,2.7,11.0
Alabama,Randolph,South,73.1,11834.0,25.0,18.0,50.0,24.0,2.4,13.0
Alabama,Russell,South,71.0,14160.0,27.0,19.0,61.0,26.0,2.8,12.0
Alabama,St. Clair,South,72.8,11878.0,14.0,15.0,59.0,18.0,2.1,10.0
Alabama,Shelby,South,79.4,6795.0,9.0,13.0,76.0,15.0,1.8,8.0
Alabama,Sumter,South,71.3,15670.0,45.0,19.0,53.0,30.0,3.7,9.0
Alabama,Talladega,South,70.5,15316.0,23.0,18.0,51.0,24.0,2.8,10.0
Alabama,Tallapoosa,South,72.8,12183.0,23.0,18.0,52.0,23.0,2.5,12.0
Alabama,Tuscaloosa,South,74.5,10422.0,24.0,15.0,66.0,21.0,2.3,9.0
