State,County,Region,Race Group,Life Expectancy
Alabama,Baldwin,South,Hispanic,98.1
Alabama,Blount,South,Hispanic,97.8
Alabama,Calhoun,South,Hispanic,92.7
Alabama,Chilton,South,Hispanic,92.5
Alabama,Coffee,South,Hispanic,84.4
Alabama,Dale,South,Hispanic,88.1
Alabama,DeKalb,South,Hispanic,80.9
Alabama,Elmore,South,Hispanic,101.9
Alabama,Etowah,South,Hispanic,83.0
Alabama,Franklin,South,Hispanic,82.0
Alabama,Houston,South,Hispanic,84.8
Alabama,Jackson,South,Hispanic,91.9
Alabama,Jefferson,South,Hispanic,89.6
Alabama,Lauderdale,South,Hispanic,104.7
Alabama,Lee,South,Hispanic,92.7
Alabama,Limestone,South,Hispanic,92.0
Alabama,Madison,South,Hispanic,86.1
Alabama,Marshall,South,Hispanic,88.0
Alabama,Mobile,South,Hispanic,100.9
Alabama,Montgomery,South,Hispanic,80.3
Alabama,Morgan,South,Hispanic,81.8
Alabama,Russell,South,Hispanic,77.5
Alabama,Shelby,South,Hispanic,101.9
Alabama,Tuscaloosa,South,Hispanic,98.8
Alaska,Anchorage,West,Hispanic,82.8
Alaska,Fairbanks North Star,West,Hispanic,85.3
Alaska,Juneau,West,Hispanic,82.4
Alaska,Matanuska-Susitna,West,Hispanic,82.2
Arizona,Apache,West,Hispanic,72.2
Arizona,Cochise,West,Hispanic,77.0
Arizona,Coconino,West,Hispanic,78.1
Arizona,Gila,West,Hispanic,77.0
Arizona,Graham,West,Hispanic,74.5
Arizona,Greenlee,West,Hispanic,75.3
Arizona,La Paz,West,Hispanic,76.3
Arizona,Maricopa,West,Hispanic,76.5
Arizona,Mohave,West,Hispanic,77.1
Arizona,Navajo,West,Hispanic,72.6
Arizona,Pima,West,Hispanic,76.5
Arizona,Pinal,West,Hispanic,77.7
Arizona,Santa Cruz,West,Hispanic,79.2
Arizona,Yavapai,West,Hispanic,78.9
Arizona,Yuma,West,Hispanic,77.3
Arkansas,Benton,South,Hispanic,84.1
Arkansas,Carroll,South,Hispanic,93.8
Arkansas,Craighead,South,Hispanic,91.3
Arkansas,Crawford,South,Hispanic,89.8
Arkansas,Faulkner,South,Hispanic,86.4
Arkansas,Garland,South,Hispanic,79.9
Arkansas,Hempstead,South,Hispanic,77.9
Arkansas,Howard,South,Hispanic,83.0
Arkansas,Independence,South,Hispanic,87.2
Arkansas,Johnson,South,Hispanic,106.3
Arkansas,Mississippi,South,Hispanic,79.7
Arkansas,Pope,South,Hispanic,96.2
Arkansas,Pulaski,South,Hispanic,82.7
Arkansas,Saline,South,Hispanic,94.3
Arkansas,Sebastian,South,Hispanic,91.9
Arkansas,Sevier,South,Hispanic,81.6
Arkansas,Washington,South,Hispanic,86.5
Arkansas,White,South,Hispanic,85.4
Arkansas,Yell,South,Hispanic,79.1
California,Alameda,West,Hispanic,82.2
California,Amador,West,Hispanic,82.7
California,Butte,West,Hispanic,81.0
California,Calaveras,West,Hispanic,83.9
California,Colusa,West,Hispanic,82.7
California,Contra Costa,West,Hispanic,83.1
California,Del Norte,West,Hispanic,85.0
California,El Dorado,West,Hispanic,83.1
California,Fresno,West,Hispanic,76.6
California,Glenn,West,Hispanic,79.9
California,Humboldt,West,Hispanic,80.7
California,Imperial,West,Hispanic,76.9
California,Inyo,West,Hispanic,80.8
California,Kern,West,Hispanic,76.6
California,Kings,West,Hispanic,77.6
California,Lake,West,Hispanic,79.5
California,Lassen,West,Hispanic,88.0
California,Los Angeles,West,Hispanic,79.5
California,Madera,West,Hispanic,77.7
California,Marin,West,Hispanic,86.7
California,Mariposa,West,Hispanic,84.6
California,Mendocino,West,Hispanic,83.9
California,Merced,West,Hispanic,78.7
California,Mono,West,Hispanic,109.4
California,Monterey,West,Hispanic,81.3
California,Napa,West,Hispanic,83.5
California,Nevada,West,Hispanic,83.9
California,Orange,West,Hispanic,80.5
California,Placer,West,Hispanic,83.9
California,Plumas,West,Hispanic,88.0
California,Riverside,West,Hispanic,78.8
California,Sacramento,West,Hispanic,79.7
California,San Benito,West,Hispanic,79.8
California,San Bernardino,West,Hispanic,76.7
California,San Diego,West,Hispanic,80.3
California,San Francisco,West,Hispanic,82.1
California,San Joaquin,West,Hispanic,78.2
California,San Luis Obispo,West,Hispanic,83.0
California,San Mateo,West,Hispanic,85.5
California,Santa Barbara,West,Hispanic,80.9
California,Santa Clara,West,Hispanic,81.4
California,Santa Cruz,West,Hispanic,81.5
California,Shasta,West,Hispanic,77.4
California,Siskiyou,West,Hispanic,78.9
California,Solano,West,Hispanic,82.2
California,Sonoma,West,Hispanic,83.5
California,Stanislaus,West,Hispanic,78.3
California,Sutter,West,Hispanic,80.5
California,Tehama,West,Hispanic,80.9
California,Tulare,West,Hispanic,77.0
California,Tuolumne,West,Hispanic,80.6
California,Ventura,West,Hispanic,81.5
California,Yolo,West,Hispanic,80.1
California,Yuba,West,Hispanic,82.2
Colorado,Adams,West,Hispanic,77.9
Colorado,Alamosa,West,Hispanic,70.2
Colorado,Arapahoe,West,Hispanic,78.9
Colorado,Archuleta,West,Hispanic,74.6
Colorado,Bent,West,Hispanic,73.9
Colorado,Boulder,West,Hispanic,81.2
Colorado,Broomfield,West,Hispanic,79.9
Colorado,Chaffee,West,Hispanic,83.4
Colorado,Conejos,West,Hispanic,71.6
Colorado,Crowley,West,Hispanic,69.3
Colorado,Delta,West,Hispanic,78.6
Colorado,Denver,West,Hispanic,75.6
Colorado,Douglas,West,Hispanic,84.2
Colorado,Eagle,West,Hispanic,85.4
